created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Fri Feb 23 16:50:52 +0000 2024;1761071133913428231;"@CNNIndonesia @kaulpasaribu Benar kata dubes Jepang  Butuh org berkualitas .  Penempatannya bukan saraf otak pintar jualan antik nyamuk bicara.  Pemerintah butuh org pekerja keras dan punya nilai jual dilevel internasional ( buku CV manusia betul org baik , tidak ada rasa menipu sesama manusia )";0;2;0;0;in;1495399833720406019;1760912934002397516;Gabe51301031;https://twitter.com/Gabe51301031/status/1761071133913428231
Fri Feb 23 09:22:58 +0000 2024;1760958418414968972;"TVR 120- Komisi IX DPR RI : Libatkan Masyarakat Dalam Implementasi Wolbachia  Salah satu inovasi yang dilakukan pemerintah untuk menurunkan penyebaran demam berdarah dengue di Indonesia, adalah menerapkan teknologi nyamuk ber-wolbachia. #TVRParlemen #DPRRI https://t.co/RzROauGh5l";0;0;0;3;in;1389817105722187778;1760958418414968972;tvr_parlemen;https://twitter.com/tvr_parlemen/status/1760958418414968972
Tue Feb 20 17:46:29 +0000 2024;1759997969074663919;"Panas bangettt bgst! Dilaknat kayaknya ini negara. Dah gitu tinggal di pemukiman miskin, nyamuk banyak benerrr.  Hidup susah, mau tidur juga susah. Pemerintah tai.";0;0;0;1;in;533218308;1759997969074663919;ndrfirmansyah;https://twitter.com/ndrfirmansyah/status/1759997969074663919
Tue Feb 20 16:24:20 +0000 2024;1759977293378674829;"DBD meresahkan, efek nyamuk tambahan dari pemerintah bukan yaa 🤔";0;0;0;0;in;949437030307524610;1759977293378674829;vinialviony;https://twitter.com/vinialviony/status/1759977293378674829
Fri Feb 16 17:12:56 +0000 2024;1758539975728230840;"Pemerintah Kabupaten Gianyar menggelar Gerakan Serentak Pemberantasan Sarang Nyamuk (PSN) Jumat (16/2)  Berita Selengkapnya : https://t.co/psTkrREykf https://t.co/QimRQiYckx";0;0;0;0;in;475964443;1758539961765408964;PemkabGianyar;https://twitter.com/PemkabGianyar/status/1758539975728230840
Mon Feb 05 06:34:21 +0000 2024;1754393001424797706;"@detiksumut_ @detikcom Lama2 anis digigit nyamuk nanti digoreng itu nyamuk pemerintah mau hisap darah anis awokwokwowko";0;0;0;1;in;1743281816000438272;1754384362324566135;tirtakencana88;https://twitter.com/tirtakencana88/status/1754393001424797706
Mon Jan 29 08:24:31 +0000 2024;1751884011469979749;"Pemerintah Provinsi (Pemprov) Sulsel mendorong seluruh Pemerintah Kabupaten dan Kota di wilayah tersebut untuk intensifikasi upaya pemberantasan sarang nyamuk. #Pemprovsulsel #DBD  https://t.co/0aYQp0ISep";0;0;0;0;in;1698580133068865536;1751884011469979749;heralddotID;https://twitter.com/heralddotID/status/1751884011469979749
Fri Jan 26 11:43:32 +0000 2024;1750846932690649530;"Musim hujan telah tiba, Babinsa Desa Pilangsari Serma Surasno Anggota Koramil 07/ Ngrampal melaksanakan Pemberantasan Sarang Nyamuk ( PSN ) bersama UPT Puskesmas Ngrampal, Aparat Pemerintah Desa Pilangsari, ibu Kader PKK Desa Pilangsari, di dk. Gerdu Desa Pilangsari Ngrampal https://t.co/gAYqd1Q3dl";0;0;0;0;in;4857501925;1750846932690649530;Kodim_Sragen;https://twitter.com/Kodim_Sragen/status/1750846932690649530
Fri Jan 26 10:49:10 +0000 2024;1750833250237550602;"Anak Digigit Banyak Nyamuk Sehabis Banjir, Warga Sekayu Muba Harap Pemerintah Lakukan Fogging Segera   https://t.co/fMUHKgnPJf";0;0;0;0;in;62766815;1750833250237550602;sriwijayapost;https://twitter.com/sriwijayapost/status/1750833250237550602
Mon Jan 22 13:33:24 +0000 2024;1749425029585244278;"@Been4Q59 Pemerintah tampaknya "MEMAKSAKAN RAKYATNYA HARUS DIGIGIT NYAMUK".... biar apa coba?";0;0;0;1;in;1635934063784783872;1749398680149577807;Javaz_Bram4;https://twitter.com/Javaz_Bram4/status/1749425029585244278
Fri Jan 05 04:28:42 +0000 2024;1743127358008390003;"sebagai "nyamuk di ujung jarum" yang akhirnya dapat terbang bebas. Terima kasih kepada pemerintah yang telah memperhatikan kebutuhan kami! 🙌 🏻 💻 📲";0;0;0;0;in;1689880714152681472;1743127358008390003;ryhanazriiii;https://twitter.com/ryhanazriiii/status/1743127358008390003
Mon Dec 25 14:07:45 +0000 2023;1739286812571705399;"KENAPA NYAMUK KALAU GIGIT GUE SAMPE BEGINI SIH   ini nyamuk yang katanya sengaja disebar pemerintah itu bukan sih ngeri bgt gigitannya https://t.co/uB9pOBCn0O";0;2;0;0;in;1103345126;1739286812571705399;syawkhira;https://twitter.com/syawkhira/status/1739286812571705399
Thu Dec 21 19:34:37 +0000 2023;1737919520294207937;"@tvOneNews Apa yy sdh diperbuat dy seorang aktivis 98 ?   Apa perbuatannya jualan anti nyamuk berkoar koar ke Pemerintah ?";0;0;0;0;in;1699791963221024768;1737806212530581848;kaulpasaribu;https://twitter.com/kaulpasaribu/status/1737919520294207937
Tue Dec 19 18:09:40 +0000 2023;1737173368632455406;"@BjodohComeback Otak pemimpin pada keblinger. Kemarin" Tiap minggu ada kader PKK ikutan ngontrol bak mandi jangan sampai ada jentik nyamuk.  Eee... sekarang pemerintah malah nyebarin nyamuk, apapun alasannya kayaknya ada otak yg konsleting. Salam ODGJ...!!!!";0;1;0;2;in;1604791864585908224;1737134654019571979;NawawiAlMaroni;https://twitter.com/NawawiAlMaroni/status/1737173368632455406
Tue Dec 19 14:41:31 +0000 2023;1737120985613300055;"Warga Ujungberung apakah ada yang meras kalau akhir2 ini nyamuk makin banyak di rumah? Untuk program pemerintah untuk menurunkan kasus DBD semoga sukses ya  https://t.co/3oaDMZXoPs";0;0;0;0;in;1515721054601240589;1737120985613300055;Uber_update;https://twitter.com/Uber_update/status/1737120985613300055
Mon Dec 18 15:40:00 +0000 2023;1736773313169629619;"Mereka memprotes pemerintah yang memaksakan menyebarkan nyamuk Wolbachia di Kota Bandung, beberapa waktu lalu.   Sumber: https://t.co/vxgrmmf5Gf";1;0;0;3;in;68930552;1736773313169629619;mediaindonesia;https://twitter.com/mediaindonesia/status/1736773313169629619
Mon Dec 18 13:11:07 +0000 2023;1736735848153088309;"BERANI GAK NIH..? Warga Bandung Minta Pemerintah Lepas Nyamuk Wolbachia di Rumah Menkes https://t.co/4vAYWPD6hm via @BERGELORA.COM";0;1;8;9;in;1284518394880864256;1736735848153088309;bergeloralah;https://twitter.com/bergeloralah/status/1736735848153088309
Mon Dec 18 13:10:00 +0000 2023;1736735564613996608;"Dalam aksinya, mereka memasang spanduk-spanduk berisi protes penyebaran nyamuk, yang diklaim pemerintah dapat mengantisipasi perkembangan nyamuk penyebab demam berdarah tersebut.    Sumber: https://t.co/cdKSZSpGZu";0;0;0;0;in;68930552;1736735564613996608;mediaindonesia;https://twitter.com/mediaindonesia/status/1736735564613996608
Mon Dec 18 04:27:23 +0000 2023;1736604045668991166;"@RadioElshinta Walaupun di singapura program nyamuk itu berhasil, namun Pemerintah lupa kalo di indonesia banyak orang tolol yg mabok agama.";0;0;0;3;in;193775253;1736600613776199829;ekosutrisno_;https://twitter.com/ekosutrisno_/status/1736604045668991166
Fri Dec 15 11:09:31 +0000 2023;1735618081001767160;"kesel bgt gua baca berita nyamuk pemerintah";0;0;0;0;in;992599981386280960;1735618081001767160;fotskuy;https://twitter.com/fotskuy/status/1735618081001767160
Thu Dec 14 01:20:17 +0000 2023;1735107409188958251;"@hermangoranov @BunieTinie @TedInvestigasi Buang airnya itu kan jentik nyamuk kering air nya mati bibit nyamuk......pemerintah ini bukannya bibit ayam kambing sapi atau apalah kog malah nyamuk yg di berikan nasib nasibbbb";0;0;0;1;in;1672789970124443648;1734791746348097750;mbahgembel003;https://twitter.com/mbahgembel003/status/1735107409188958251
Wed Dec 13 14:13:31 +0000 2023;1734939610911015405;"@asaawin iyaa, pemerintah ngelepas nyamuk kak emangan";0;0;0;0;in;1734404550558359552;1734896755936993315;getreadytowin;https://twitter.com/getreadytowin/status/1734939610911015405
Wed Dec 13 04:49:05 +0000 2023;1734797564682363212;"@theDinoly Itu nyamuk yaang diproduksi amerika serikat mau dilepas pemerintah indo buat nurunin penyakit demam berdarah, faktanya tanpa nyamuk itu pun bisa turun krna banyak faktor";0;0;0;0;in;1678599441622904832;1734796167022813477;viridfloraa;https://twitter.com/viridfloraa/status/1734797564682363212
Wed Dec 13 04:43:01 +0000 2023;1734796039951966631;"@KemenkesRI nyamuk wolbachia = pelengkap dari upaya pemerintah dalam mengatasi DBD";0;0;0;0;in;1727161367696977920;1733808681899426034;ANuratmi;https://twitter.com/ANuratmi/status/1734796039951966631
Tue Dec 12 06:31:27 +0000 2023;1734460939955847184;"Oalah barisan bloon juga nih, seharusnya yang kalian desak itu @jokowi atau @KemenkesRI agar mengadakan seminar dan mengundang seluruh pihak termasuk yang menolak, agar terang benderang kenapa ngotot banget pemerintah menyebarkan nyamuk, biar kalian tau jika aja pejabat negara… https://t.co/3Caco1jUiN";4;29;80;158;in;75519742;1734460939955847184;Nicho_Silalahi;https://twitter.com/Nicho_Silalahi/status/1734460939955847184
Tue Dec 12 02:39:49 +0000 2023;1734402649615921164;"Pemerintah yang nyebar nyamuk apalaapalah, tapi ujungnya di fogging juga. Kesian anak2 kebauan asapnya 😭";0;0;0;0;in;88681553;1734402649615921164;hariyarini;https://twitter.com/hariyarini/status/1734402649615921164
Tue Dec 12 00:43:57 +0000 2023;1734373488558047669;"Pemerintah bukannya kasih solusi malah nambah spesies baru🙄 #nyamuk";0;0;0;0;in;1472239949088919552;1734373488558047669;air_daratan;https://twitter.com/air_daratan/status/1734373488558047669
Mon Dec 11 22:14:49 +0000 2023;1734335959683276843;"@StopPlandemit Kek orang bego. Blom lagi plandemit mo dtg, barengan lg ama wabah nyamuk. Ada2 aja pemerintah nyari duit gini amat";0;1;1;1;in;1097782415324401664;1734052659110580504;Taufik_I_Smile;https://twitter.com/Taufik_I_Smile/status/1734335959683276843
Mon Dec 11 17:46:38 +0000 2023;1734268466298003770;"Rame2 nyamuk wolbachia, emang lagi rame banget nyamuk di kamar, disemprot dipasang hit elektrik juga ga mempan, pasti adaaa terooooos. Sasarannya pasti ke Taka, kaki bentol2 gede lebar gatal sepanjang malam. Babi pemerintah babi babi";0;0;0;0;in;2235568741;1734268466298003770;nvadm2;https://twitter.com/nvadm2/status/1734268466298003770
Mon Dec 11 16:49:31 +0000 2023;1734254094964130295;"@StopPlandemit Tolak keras penyebaran Nyamuk!! Dimanapun tempat nyamuk harus dibasmi!! Siapa mereka-mereka ini?? Sepertinya ada unsur kesengajaan! Berani sekali menyebarkan berita/info gelap yg menjadi kewenangan pemerintah!! Tidak boleh ada pembodohan!! Masyarakat tidak akan menerima!!";0;0;1;1;in;1508330269459185665;1734052659110580504;acy_mas;https://twitter.com/acy_mas/status/1734254094964130295
Mon Dec 11 16:49:07 +0000 2023;1734253993743065365;"@AriesTruss Tolak keras penyebaran Nyamuk!! Dimanapun tempat nyamuk harus dibasmi!! Siapa mereka-mereka ini?? Sepertinya ada unsur kesengajaan! Berani sekali menyebarkan berita/info gelap yg menjadi kewenangan pemerintah!! Tidak boleh ada pembodohan!! Masyarakat tidak akan menerima!!";0;1;0;2;in;1508330269459185665;1734166998899449866;acy_mas;https://twitter.com/acy_mas/status/1734253993743065365
Mon Dec 11 09:40:46 +0000 2023;1734146193872310433;"PEMERINTAH Kota Bandung  telah menyebar sebanyak 308 ember telur nyamuk Wolbachia di 15 RW yang  ada di Kelurahan Pasanggrahan, Kecamatan Ujungberung, November lalu.  Namun pro kontra masih terjadi   Sumber: https://t.co/FfXctSaQc8";0;0;0;1;in;68930552;1734146193872310433;mediaindonesia;https://twitter.com/mediaindonesia/status/1734146193872310433
Mon Dec 11 08:17:40 +0000 2023;1734125283534573833;"Pantesan lagi banyak nyamuk ternyata pemerintah ngelepas nyamuk wolbachia 😭";0;0;0;0;in;866587350746267648;1734125283534573833;atsumu_tuna;https://twitter.com/atsumu_tuna/status/1734125283534573833
Mon Dec 11 07:18:09 +0000 2023;1734110305456930994;"ini teori konspiresyen soal pemerintah nebar nyamuk apkh betul? asli ya ini nyamuk2 bener2 gila kata gue, anying byk bgtttt";1;2;0;0;in;767862290;1734110305456930994;jeononuism;https://twitter.com/jeononuism/status/1734110305456930994
Sun Dec 10 13:51:52 +0000 2023;1733846999877964236;"owwh gratis toh penyebaran nyamuk wolbachia gw kira dari anggaran pemerintah, tapi jadi kelinci percobaaan yah rungkad. 😅😅";0;0;1;0;in;1594274770568482816;1733846999877964236;rakyatbiasa33;https://twitter.com/rakyatbiasa33/status/1733846999877964236
Sun Dec 10 05:05:46 +0000 2023;1733714601626444132;"Ini serius !!! Nyamuk berbahaya atau Pemerintah kurang sosialisasi. Atau ada motif lain.";0;0;2;2;in;1466221870294863873;1733714601626444132;ZAMHARIBASYIR1;https://twitter.com/ZAMHARIBASYIR1/status/1733714601626444132
Fri Dec 08 16:23:44 +0000 2023;1733160442930024835;"Perihal tadi cm mau ngambil barang sm tmn yg lembur, malah jd ngobrol panjanggg.  Dari masalah kampus, dosen, kerjaan, pegawai, pemerintah, smp kebijakan w ngerasa nyambung2 aja. Sampe ga berasa dah mau sejam ngobrol didepan gedung mana gelap2 wkwkwk untung ga ad nyamuk nackal.🙏";0;1;0;1;in;1295378909467312130;1733159671434031334;riris12via;https://twitter.com/riris12via/status/1733160442930024835
Fri Dec 08 08:28:00 +0000 2023;1733040720884461889;"@DokterTifa yuk kita saling support, pemerintah udah berani ambil langkah memberantas DBD dengan nyamuk wolbachia, bagian kita adalah mendukung dan support solusi yang ada";0;0;0;0;in;1705232960272941056;1729838124853821489;farellypradipta;https://twitter.com/farellypradipta/status/1733040720884461889
Fri Dec 08 02:41:12 +0000 2023;1732953445915910516;"Banyak bgt anjir ni nyamuk pemerintah";0;0;0;0;in;141110024;1732953445915910516;piyaayip_;https://twitter.com/piyaayip_/status/1732953445915910516
Thu Dec 07 23:26:46 +0000 2023;1732904512841777298;"@mulkanjabariyan ko di era kepemerintahan yg sekarang orang mendadake eror ya dan ga ada rasa malu sih,hanya demi cuan rela bohongi rakyat2 bisnis nyamuk boleh jualan vaksin boleh yg ga boleh komen ke pemerintah dan kemenekes ya,kebanyak di vaksin jadi mendadak waaau.";0;0;1;0;in;1573144101197074432;1732752521213661473;AbdulgoparMaul1;https://twitter.com/AbdulgoparMaul1/status/1732904512841777298
Thu Dec 07 10:36:45 +0000 2023;1732710733723705355;"Ada berita baru, nyamuk yg di datangkan untuk melawan nyamuk, singapura, malaysia, maupun negara tetangga sdh nolak, Indonesia nrima guys, buat kelinci percobaan lagi suruh vaksin ini itu. Pemerintah ini goblog apa g pernah belajar biologi ya di SMP, nyamuk kok di lawan nyamuk";1;0;1;1;in;1620223971655565312;1732710733723705355;adekkiacantik;https://twitter.com/adekkiacantik/status/1732710733723705355
Thu Dec 07 09:12:33 +0000 2023;1732689543122616625;"@evparda betul sempet mikir gt juga apa karna nyamuk yg d sebar pemerintah";0;0;0;0;in;1440302537161134093;1732678220045271095;sigemoyyyyyyy15;https://twitter.com/sigemoyyyyyyy15/status/1732689543122616625
Thu Dec 07 05:05:29 +0000 2023;1732627367716385063;"Pemerintah pusat melalui Kementerian Kesehatan telah mulai melakukan inovasi untuk menekan penyebaran demam berdarah dengue (DBD) dengan menyebar nyamuk wolbachia.  https://t.co/X8NDDOhzgm";0;0;0;0;in;987881287896649728;1732627367716385063;Kendarinformasi;https://twitter.com/Kendarinformasi/status/1732627367716385063
Tue Dec 05 11:01:36 +0000 2023;1731992209124377018;"Langkah pemerintah untuk menyebar nyamuk Wolbachia di beberapa kota di Indonesia, khususnya yang memiliki preferensi kasus DBD yang besar, mendapat penolakan dari masyarkat.";0;1;0;0;in;2295403266;1731992196151222459;GatraMediaGroup;https://twitter.com/GatraMediaGroup/status/1731992209124377018
Tue Dec 05 08:43:07 +0000 2023;1731957359600410671;"Adakah dari teman-teman yang belum kebagian distribusi nyamuk gratis dari pemerintah?";0;0;0;0;in;110063621;1731957359600410671;d3to;https://twitter.com/d3to/status/1731957359600410671
Tue Dec 05 06:20:27 +0000 2023;1731921455091204348;"@Nicho_Silalahi Kenapa gak sekalian di tenggak aja asam sulfat nya sama vaksin dan nyamuk Wolbachia nya  heran deh sama pemerintah kok rakyat dijadikan kelinci percobaan terus";0;0;0;1;in;1592566275489730560;1731828413378466131;nangimas88;https://twitter.com/nangimas88/status/1731921455091204348
Mon Dec 04 10:01:36 +0000 2023;1731614724511682892;"@KemenkesRI Dulu di Jogja juga saat pelepasan telur nyamuk Wolbachia di beberapa lokasi sempat menuai penolakan. Tapi setelah dilakukan sosialisasi dan mendapat dukungan dari pemerintah kabupaten dan kota akhirnya program tersebut bisa terlaksana. ini saya dpt dari situs resmi UGM";0;0;0;1;in;199434900;1728351378333122786;lisasaraswati;https://twitter.com/lisasaraswati/status/1731614724511682892
Mon Dec 04 00:46:34 +0000 2023;1731475046466728442;"@DokterTifa Saya nggk tertarik membahas nyamuknya  Pertanyaan' nya  Berapa UANG yg di siram @BillGates ke Pemerintah sebagai Upah karena bersedia menjadi kelinci Percobaan..?  Kalau Project diminati dan bermanfaat,  Semua Negara bersedia bayar mahal utk nyamuk ini😁 https://t.co/rZ2Lt0R1Gt";0;0;0;1;in;2408810690;1731458820067696678;TheUncleDee;https://twitter.com/TheUncleDee/status/1731475046466728442
Sun Dec 03 03:28:23 +0000 2023;1731153380863852560;"40 jam sesudah digigit 500 nyamuk berwolbachia selama 20 menit di lab Salatiga. Video ini menjawab kegelisahan wrg bahwa aman jika digigit hanya 2 persen nyamuk aedes berwolbachia yg disebar pemerintah utk program penurunan DBD ini dr total populasi nyamuk https://t.co/Bx0eEWmfig https://t.co/dkYOQ9oBob";1;11;3;5;in;1184694752;1731153380863852560;Ngabila;https://twitter.com/Ngabila/status/1731153380863852560
Sat Dec 02 13:52:09 +0000 2023;1730947966964474125;"WOI PEMERINTAH KALO BENER NI NYAMUK KALIAN YANG SEBARIN, GUE DOAIN RUMAH LO PADA PENUH NYAMUK SELAMA SETAHUN, BANGSAT LECET SEMUA KULIT GUE INI ANJ 😭😭😭";0;0;0;0;in;1565160465608904704;1730947966964474125;snowhitegurl;https://twitter.com/snowhitegurl/status/1730947966964474125
Sat Dec 02 05:27:55 +0000 2023;1730821071488881145;"@Nicho_Silalahi @KemenkesRI @DokterTifa Rese banget kelakuan pemerintah saat ini, mereka para pejabat rumahnya keren, pake AC, nyamuk gak bakalan masuk, ehh.. nyebarin nyamuk buat rakyat susah, yg tinggal di pelosok-pelosok. Rakyat sudah susah, kena nyamuk pula... 🙇🤮";0;0;0;0;in;152956554;1730550717021299038;wawan_pewe;https://twitter.com/wawan_pewe/status/1730821071488881145
Sat Dec 02 00:57:41 +0000 2023;1730753067187138698;"Perhatikan video di bawah ini sampai selesai. Kata pemerintah bahwa bukan nyamuk rekayasa genetika. Dalam video di bawah ini mengatakan disisipkan 2 gen ke dalam 'genom nyamuk' &amp  mewariskan gen kpd manusia...maka betul bhw nyamuk rekayasa genetik ini akn mempengaruhi DNA manusia.";0;1;4;10;in;1603657268574433280;1730753067187138698;AriesTruss;https://twitter.com/AriesTruss/status/1730753067187138698
Fri Dec 01 23:39:26 +0000 2023;1730733373939965989;"@DokterTifa Pemerintah yang aneh.. memangnya nyamuk sudah tidak suka darah manusia ya?? 🤮🙇";0;0;0;0;in;152956554;1730410811913556114;wawan_pewe;https://twitter.com/wawan_pewe/status/1730733373939965989
Fri Dec 01 19:09:07 +0000 2023;1730665346376626259;"Ini keknya pemerintah ngelepas nyamuk di Petukangan semua dah ajig.";0;0;0;2;in;1383228858;1730665346376626259;Unchonz;https://twitter.com/Unchonz/status/1730665346376626259
Fri Dec 01 13:20:16 +0000 2023;1730577555001053227;"@DokterTifa Saya enggak ngerti sama pemerintah saat ini terutama @dinkesJKT dan @DINKES_KAB_BDG mau aja nyamuk disebar kek gini....";0;0;0;0;in;870838785897971713;1730410811913556114;edynatasya06;https://twitter.com/edynatasya06/status/1730577555001053227
Fri Dec 01 09:06:43 +0000 2023;1730513747993878590;"@DokterTifa Kami rakyat kecil ini sdh bingung dan pasrah, apa mau nya pemerintah, nyamuk hrs nya semprot, d fogging dll, ini malah mau d tebar jutaan ekor, trus org2 d vaksin, udah mirip mau jualan vaksin farmasi";0;0;0;0;in;1587026855546486787;1729645386048885118;KtbRizman;https://twitter.com/KtbRizman/status/1730513747993878590
Fri Dec 01 09:06:37 +0000 2023;1730513722530209959;"@DokterTifa Akal sehat Mereka bagaimana ya?? Dimana pun dengan alasan apapun Nyamuk harus dibasmi!! Bukan malah diSebar!!  Pemerintah/Kemenkes jangan asal ikuti Asing!! Biarkan saja mereka pihak Asing yang ujiCoba!! Kita jangan ambil resiko, keselamatan Masyarakat kita jauh lebih Utama.";0;0;0;0;in;1508330269459185665;1730410811913556114;acy_mas;https://twitter.com/acy_mas/status/1730513722530209959
Fri Dec 01 08:12:50 +0000 2023;1730500188236894433;"#Foto Massa melakukan aksi unjuk rasa di depan Kementerian Kesehatan, Jakarta. Mereka menolak program pemerintah yang mulai menyebar nyamuk Wolbachia. Begini potretnya! ⬇️  &gt &gt  https://t.co/550xbPN3ic  Foto: detikHealth/Ari Saputra  #Jakarta #Wolbachia #detikhealth https://t.co/zJKLMHvehr";0;0;0;0;in;104446991;1730500188236894433;detikHealth;https://twitter.com/detikHealth/status/1730500188236894433
Fri Dec 01 06:30:18 +0000 2023;1730474385335894377;"@DokterTifa masalah DBD itu bergantung pada kesadaran masyarakat itu sendiri. kalau tempat kotor, buang sampah sembarangan sampai banyak genangan air, dijamin pasti banyaklah nyamuk. pemerintah cuma bilang 3M, tapi pengawasan pada buang sampah tak ada. (di daerah saya)";0;0;0;0;in;440397714;1730410811913556114;thx_qyu;https://twitter.com/thx_qyu/status/1730474385335894377
Fri Dec 01 01:42:06 +0000 2023;1730401854197305452;"@mozamozza770 @mr_banan12 @8angSaid @Abahpurwa1 @SangLangit01 @MDH__SNA Nyamuk wolbachia itu inovasi sdh di teliti dan terbukti membasmi Demam berdarah. Tpi percuma ngomong sih. Terserah makan hoax dri org yg ga jelas atau percaya pemerintah. M";0;0;0;2;in;1205998891398598656;1729656061093626337;umarukawaidesu;https://twitter.com/umarukawaidesu/status/1730401854197305452
Fri Dec 01 01:15:24 +0000 2023;1730395138952659181;"@ArgentianaA Pemerintah aya2 wae... Menyebarkan itu kebaikan, Bukan Nyebarin Nyamuk, Emang kurang Nyamuk di Jakarta? 🦟 #eh 🦗😷";0;1;1;1;in;712242282;1730387580729127090;wongunner;https://twitter.com/wongunner/status/1730395138952659181
Fri Dec 01 01:12:22 +0000 2023;1730394374662713624;"Tekan Kasus Demam Berdarah, Pemerintah Dorong Pemanfaatan Nyamuk Wolbachia https://t.co/DYYnhni9S4 https://t.co/Tt5NTjzsRO";0;0;0;0;in;275580050;1730394374662713624;InfoPublikIP;https://twitter.com/InfoPublikIP/status/1730394374662713624
Thu Nov 30 14:52:22 +0000 2023;1730238346536862043;"@kompascom Kenapa pemerintah nyebar nyamuk Wolbachia ada apa";0;0;0;0;in;1592566275489730560;1729988443168780631;nangimas88;https://twitter.com/nangimas88/status/1730238346536862043
Thu Nov 30 13:23:40 +0000 2023;1730216024979734995;"@MariaAlcaff @Ngabila Aneh2 aja..masyarakat berupaya spy d rumah &amp  sekelilingnya gada nyamuk..ada jumantik..pelihara obat semprot nyamuk d rmh ..ini malah mau d sebarin lg nyamuk2 hasil rekayasa genetik..sakit jiwaaa kyknya pemerintah";0;1;2;2;in;1176745164661878785;1730035196190491128;ummu_misyka;https://twitter.com/ummu_misyka/status/1730216024979734995
Thu Nov 30 11:51:42 +0000 2023;1730192880348934432;"HENTIKAN program menyebarkan ratusan juta nyamuk terpapar bakteri wolbachia ke Indonesia. Pemerintah berencana import ratusan juta nyamuk untuk menghilangkan nyamuk penyebab demam berdarah. Ini program terburuk sepanjang Indonesia berdiri";2;4;104;150;in;300586723;1730192880348934432;m_mirah;https://twitter.com/m_mirah/status/1730192880348934432
Thu Nov 30 10:59:57 +0000 2023;1730179856154181947;"kaget pas tau kalau pemerintah nyebarin nyamuk, pantes aja bnyk bnget ga kayak biasa nya 😧😧";0;11;0;0;in;1486230371008397315;1730179856154181947;levicsm;https://twitter.com/levicsm/status/1730179856154181947
Thu Nov 30 10:50:16 +0000 2023;1730177419230032122;"@DokterTifa Kalau saja setuju dg dpr kita yg berani melawannkedzoliman. Pemerintah telah diam2 kerjasama dg pembuat nyamuk dijogja. Dr beneran bukan sih.";0;0;0;0;in;1646924690764754945;1729838124853821489;KTum202336718;https://twitter.com/KTum202336718/status/1730177419230032122
Thu Nov 30 01:48:33 +0000 2023;1730041092157112367;"Undangan Aksi Unjuk Rasa untuk seluruh Rakyat. Indonesia sedang dalam ancaman sangat BERBAHAYA, pemerintah lewat kementrian  kesehatan RI akan menyebarkan Ratusan Juta nyamuk Terpapar bakteri Wolbachia. Nyawa Rakyat di ujung jurang kematian. Bergeraklah sebelum nyawa melayang https://t.co/gPZ7fmGoFm";0;0;14;12;in;300586723;1730041092157112367;m_mirah;https://twitter.com/m_mirah/status/1730041092157112367
Thu Nov 30 01:26:10 +0000 2023;1730035457776595304;"BARU BISA DITERIMA Tetapi, jika ada NYAMUK, biarlah WOLBACHIA. Jangan cuma bisa menciptakan polemik aja terus rakyat MIKIR terus oknum  pemerintah yg cuan sebagai jualan nyamuk WOLBACHIA";0;0;0;1;in;1497407025650696194;1730032265047286142;HanserNalle;https://twitter.com/HanserNalle/status/1730035457776595304
Thu Nov 30 01:22:57 +0000 2023;1730034648003252435;"Krn RASA HORMAT terhadap MASYARAKAT adalah yang UTAMA. pemerintah menjelaskan bahwa dengan tidak melakukan pelepasan nyamuk Wolbachia, wilayah tersebut akan menjadi RENTAN, namun TIDAK AKAN MELEPASKAN (nyamuk  Wolbachia).";0;1;0;1;in;1497407025650696194;1730032265047286142;HanserNalle;https://twitter.com/HanserNalle/status/1730034648003252435
Thu Nov 30 01:18:55 +0000 2023;1730033633149534358;"Pemerintah dlm hal ini @KemenkesRI seharusnyaa merilisnya ketika semua indikator menunjukkan bahwa masyarakat memahami proyek pelepas nyamuk terlibat,. Misalkan ada masyarakat atau lingkungan yang memutuskan bahwa mereka tidak menginginkannya. Pemerintah tidak akan MELEPASKANNYA.";0;0;0;1;in;1497407025650696194;1730032265047286142;HanserNalle;https://twitter.com/HanserNalle/status/1730033633149534358
